epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.2983,1.4113,0.66609,0.97751,0.92038,0.0672598,0.000330709,0.000330709
2,28.1856,0.86898,0.85294,0.99827,0.48146,0.0342467,0.000650894,0.000650894
3,39.1613,0.75088,0.82526,0.99654,0.59517,0.00122035,0.000957879,0.000957879
4,49.5813,0.60591,0.79412,0.99654,0.66269,0.0009406,0.0009406,0.0009406
5,59.0957,0.58172,0.86505,0.99308,0.3867,0.0009208,0.0009208,0.0009208
6,70.3771,0.50338,0.90311,0.99827,0.30206,0.000901,0.000901,0.000901
7,85.0112,0.4014,0.89619,0.99827,0.35537,0.0008812,0.0008812,0.0008812
8,94.9032,0.40898,0.91695,0.99654,0.32972,0.0008614,0.0008614,0.0008614
9,105.603,0.31761,0.87024,1,0.34235,0.0008416,0.0008416,0.0008416
10,115.378,0.31957,0.86505,0.99654,0.44515,0.0008218,0.0008218,0.0008218
11,124.994,0.28031,0.90311,0.99654,0.29204,0.000802,0.000802,0.000802
12,134.527,0.24328,0.91869,1,0.2996,0.0007822,0.0007822,0.0007822
13,145.604,0.24195,0.9308,0.99827,0.22164,0.0007624,0.0007624,0.0007624
14,156.361,0.20396,0.93426,0.99654,0.26515,0.0007426,0.0007426,0.0007426
15,167.677,0.20722,0.93253,1,0.31273,0.0007228,0.0007228,0.0007228
16,178.979,0.19648,0.91176,1,0.29844,0.000703,0.000703,0.000703
17,188.694,0.17504,0.92042,0.99827,0.23872,0.0006832,0.0006832,0.0006832
18,198.682,0.14921,0.93772,0.99827,0.23755,0.0006634,0.0006634,0.0006634
19,210.318,0.12687,0.94983,1,0.1763,0.0006436,0.0006436,0.0006436
20,221.432,0.11959,0.92734,0.99827,0.24854,0.0006238,0.0006238,0.0006238
21,231.442,0.12855,0.92215,0.99827,0.24681,0.000604,0.000604,0.000604
22,241.226,0.10465,0.93945,0.99654,0.22231,0.0005842,0.0005842,0.0005842
23,250.806,0.11284,0.9481,0.99827,0.21066,0.0005644,0.0005644,0.0005644
24,260.983,0.09918,0.9654,0.99827,0.16482,0.0005446,0.0005446,0.0005446
25,272.004,0.08085,0.95502,0.99654,0.17553,0.0005248,0.0005248,0.0005248
26,282.198,0.07819,0.96021,1,0.14516,0.000505,0.000505,0.000505
27,291.928,0.09012,0.96367,0.99827,0.15348,0.0004852,0.0004852,0.0004852
28,302.315,0.07181,0.96367,1,0.18205,0.0004654,0.0004654,0.0004654
29,313.515,0.06669,0.9654,0.99654,0.13458,0.0004456,0.0004456,0.0004456
30,324.181,0.07587,0.96021,0.99654,0.14042,0.0004258,0.0004258,0.0004258
31,333.816,0.05662,0.9481,0.99827,0.18184,0.000406,0.000406,0.000406
32,343.824,0.06666,0.95675,0.99827,0.15536,0.0003862,0.0003862,0.0003862
33,353.538,0.06001,0.96713,0.99654,0.21365,0.0003664,0.0003664,0.0003664
34,367.078,0.05688,0.9654,0.99827,0.14401,0.0003466,0.0003466,0.0003466
